student number,exam01,exam02,exam03,exam04,homework
s66,100,30,100,40,22
s67,100,80,100,100,22
s68,100,40,60,100,30
s69,100,30,100,40,40
s70,100,100,100,100,39
s71,40,30,40,10,22
s72,100,100,100,80,12
s73,40,100,60,80,2
s74,100,100,60,100,33
s92,40,100,60,80,22
s93,100,100,60,100,12
s94,80,80,50,60,30
s95,100,100,100,100,40
s96,0,20,40,60,40
s97,100,100,60,100,12
s98,80,80,50,60,10
s99,100,100,100,100,40
s100,0,20,40,60,22
s101,100,40,60,100,39
s102,100,30,100,40,22
s103,100,80,100,100,22
s104,100,40,60,100,30
s105,100,30,100,40,40
s106,100,100,100,100,39
s107,40,30,40,10,22
s108,100,100,100,80,12
s109,40,100,60,80,2
s110,100,100,60,100,33
s111,100,100,100,100,22
s112,40,30,40,10,30
s113,100,100,100,100,40
s114,100,80,100,100,40
s115,100,40,60,100,40
s116,100,30,100,40,39
s117,100,100,100,100,22
s118,0,20,40,60,12
s119,100,40,60,100,30
s120,100,30,100,40,40
s121,100,100,100,100,39
s122,40,30,40,10,22
s123,100,100,100,80,12
s124,40,100,60,80,2
s125,100,100,100,100,40
s126,0,20,40,60,40
s127,100,100,100,80,39
s128,40,100,60,80,22
s129,100,100,60,100,12
s130,80,80,50,60,30
s131,100,100,100,100,40
s132,0,20,40,60,40
s133,100,100,60,100,12
s134,80,80,50,60,10
s135,100,100,100,100,40
s136,0,20,40,60,22
s137,100,100,100,100,18
s138,80,20,50,60,10
s139,100,100,100,100,40
s140,80,40,50,60,40
s141,100,100,100,100,40
s142,0,20,40,60,12
s143,100,40,60,100,30
s144,100,30,100,40,40
s145,100,100,100,100,39
s146,40,30,40,10,22
s147,100,100,100,80,12
s148,40,100,60,80,2
s149,100,100,100,100,40
s150,0,20,40,60,40
s151,100,100,100,80,39
s152,40,100,60,80,22
s153,0,20,40,60,12
s154,100,40,60,100,30
s155,100,30,100,40,40
s156,100,100,100,100,39
s157,40,30,40,10,22
s158,100,100,100,80,12
s159,40,100,60,80,2
s160,100,100,100,100,40
s161,0,20,40,60,40
s162,100,100,100,80,39
s163,40,100,60,80,22
s164,40,100,60,80,22
s165,0,20,40,60,12
s166,100,40,60,100,30
s167,100,30,100,40,40
s168,100,100,100,100,39
s169,40,30,40,10,22
s170,100,100,100,80,12
s171,40,100,60,80,2
s172,100,100,100,100,40
s173,0,20,40,60,40
s174,100,100,100,80,39
s175,40,100,60,80,22
